,,,,,,,,,,,,,,,,,,,,,,,,,,VACCINATION DATES,,,,,,,,,,,,,,,,,,,,,,,,,
ID,NT-Date,Name,Date of Birth,Litter,Breed,Coat Length,Color,Age,Health Summary,Sex,Size,Microchipped,Microchip ID,Microchip Company,Bonded (Y/N),Bonded With,Energy Level,Good with Cats,Good with Dogs,Good with Kids,House Trained,Must Go With Another Cat,Personality Tags,Prefers To Be Alone,Special Needs,1st Set                          8 weeks (2 months),2nd Set                         12 weeks (3 months),3rd Set                         16 weeks (4 months),Rabies,Spayed/Neutered Date ,Spayed/Neutered,Vaccinations Up To Date,Environment Type,Intake Date,Shelter Location,Status,Adoption Fee,Adoption Date,Is Adopted,Adopted By,New Adopted Name,Health Concerns,Current Medications,Survey Completed,Is Sponsored,Sponsored By,Sponsorship Amount,Sponsored Date,Is Returned,Return Date,Return Reason
40,,Crumpet,,,,,,,,unknown,,TRUE,990 000 013 893 436 or                             990 000 013 893 425,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,5/1/2025,,,,,FALSE,FALSE,,,,adopted,----,5/1/2025,TRUE,,,,,FALSE,FALSE,,,,FALSE,,
41,,Crystal,8/8/2024,,Siamese,,,"1 Years, 4 Months, 9 Days",,female,,FALSE,,,FALSE,,low,FALSE,FALSE,FALSE,FALSE,FALSE,independent,FALSE,,,,,,,FALSE,FALSE,,,,adopted,----,10/5/2025,TRUE,Audrina Gardenas,,,,FALSE,FALSE,,,,FALSE,,
42,,Dakota,8/14/2024,,Domestic Shorthair,,Grey,"1 Years, 4 Months, 3 Days",,female,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,FALSE,FALSE,,,,adopted,----,,TRUE,,,,,FALSE,FALSE,,,,FALSE,,
43,,Danny,10/7/2024,,Domestic Shorthair,,,"1 Years, 2 Months, 10 Days",,male,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,FALSE,FALSE,,,,adopted,----,2/15/2025,TRUE,Estee Kallen,,,,FALSE,FALSE,,,,FALSE,,
44,,Destiny,7/27/2019,,Domestic Shorthair,,Grey,"6 Years, 4 Months, 20 Days",,female,,TRUE,985 113 003 515 139,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,8/31/2020,TRUE,FALSE,,,,available,$250.00,,FALSE,,,,,FALSE,FALSE,,,,FALSE,,
45,,Doc,3/14/2025,Grey Family,Domestic Shorthair,,Tabby,"9 Months, 3 Days",,male,,TRUE,985 113 010 376 723,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,6/20/2025,7/11/2025,,7/11/2025,9/25/2025,TRUE,FALSE,,,,adopted,----,,TRUE,,,,,FALSE,FALSE,,,,FALSE,,
46,,Dodo,6/1/2023,,Domestic Longhair,,Grey Tabby,"2 Years, 6 Months, 16 Days",,unknown,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,1/31/2025,,FALSE,FALSE,,,,,$250.00,,FALSE,,,,,FALSE,FALSE,,,,FALSE,,
47,,Domi,,,,,,,,female,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,FALSE,FALSE,,,,available,,,FALSE,,,,,FALSE,FALSE,,,,FALSE,,
48,,Dorian,4/15/2025,,Domestic Shorthair,,Grey,"8 Months, 2 Days",,male,,TRUE,985 113 010 373 756,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,7/29/2025,8/21/2025,,8/21/2025,9/25/2025,TRUE,FALSE,,,,adopted,----,,TRUE,,,,,FALSE,FALSE,,,,FALSE,,
49,,Duchess,4/7/2025,Aristocats,Domestic Shorthair,,Dilute Tabby,"8 Months, 10 Days",,female,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,6/16/2025,,,,,FALSE,FALSE,,,,adopted,----,,TRUE,,,,,FALSE,FALSE,,,,FALSE,,
50,,Dust Bunny,4/1/2025,Bunny Family,Domestic Medium Hair,,Black/Grey,"8 Months, 16 Days",,female,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,6/13/2025,7/3/2025,7/24/2025,7/24/2025,9/25/2025,TRUE,FALSE,,,,adopted,----,,TRUE,,,,,FALSE,FALSE,,,,FALSE,,
51,,Duzie,6/30/2025,Sally's Kids,Domestic Shorthair,,Tuxedo,"5 Months, 17 Days",,male,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,9/2/2025,9/23/2025,10/29/2025,10/29/2025,,FALSE,FALSE,,,,adopted,----,,TRUE,,,,,FALSE,FALSE,,,,FALSE,,
52,,Earl,8/14/2024,,Domestic Shorthair,,Tuxedo,"1 Years, 4 Months, 3 Days",,male,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,FALSE,FALSE,,,,adopted,----,,TRUE,,,,,FALSE,FALSE,,,,FALSE,,
53,,Earth,2/1/2024,Planet Family,Domestic Shorthair,,Grey Tabby,"1 Years, 10 Months, 16 Days",,female,,TRUE,985 113 009 729 263,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,2/13/2025,TRUE,FALSE,,,,available,$250.00,,FALSE,,,,,FALSE,FALSE,,,,FALSE,,
54,,Ellis,4/4/2025,,Domestic Shorthair,,Grey Tabby,"8 Months, 13 Days",,male,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,FALSE,FALSE,,,,,$300.00,,FALSE,,,,,FALSE,FALSE,,,,FALSE,,
55,24-0513,Eire,,,Domestic Shorthair,,Tortie,,,female,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,FALSE,FALSE,,,,adopted,----,,TRUE,,,,,FALSE,FALSE,,,,FALSE,,
56,24-0513,Eire BB#1,4/13/2024,,Domestic Shorthair,,Tabby,"1 Years, 8 Months, 4 Days",,unknown,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,FALSE,FALSE,,,,,$250.00,,FALSE,,,,,FALSE,FALSE,,,,FALSE,,
57,24-0513,Eire BB#2,4/13/2024,,Domestic Shorthair,,Tuxedo,"1 Years, 8 Months, 4 Days",,unknown,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,FALSE,FALSE,,,,,$250.00,,FALSE,,,,,FALSE,FALSE,,,,FALSE,,
58,24-0513,Eire BB#3,4/13/2024,,Domestic Shorthair,,Flame Point,"1 Years, 8 Months, 4 Days",,unknown,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,FALSE,FALSE,,,,,$250.00,,FALSE,,,,,FALSE,FALSE,,,,FALSE,,
59,,Elowen,3/20/2025,Grey Family,Domestic Medium Hair,,Grey,"8 Months, 27 Days",,male,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,3/14/2025,TRUE,FALSE,,,,adopted,----,,TRUE,,,,,FALSE,FALSE,,,,FALSE,,
60,24-0322,Ember,3/8/2024,Lucy's Kids,Domestic Shorthair,,Calico,"1 Years, 9 Months, 9 Days",,female,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,FALSE,FALSE,,,,adopted,----,,TRUE,,,,,FALSE,FALSE,,,,FALSE,,
61,,Emma,12/14/2024,,Domestic Shorthair,,,"1 Years, 0 Months, 3 Days",,unknown,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,FALSE,FALSE,,,,adopted,----,4/26/2025,TRUE,Armando Frias,,,,FALSE,FALSE,,,,FALSE,,
62,,Ernie,5/1/2024,,Domestic Shorthair,,Grey/White,"1 Years, 7 Months, 16 Days",,male,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,FALSE,FALSE,,,,adopted,----,,TRUE,,,,,FALSE,FALSE,,,,FALSE,,
63,,Erika,2/9/2025,,Domestic Shorthair,,Orange & White,"10 Months, 8 Days",,female,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,8/14/2025,,,,8/21/2025,TRUE,FALSE,,,,adopted,----,9/9/2025,TRUE,Danielle Gund,,,,FALSE,FALSE,,,,FALSE,,
64,,Felix,3/1/2017,,Domestic Shorthair,,Orange & White,"8 Years, 9 Months, 16 Days",,male,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,FALSE,FALSE,,,,adopted,----,5/17/2025,TRUE,Patrica Butz,,,,FALSE,FALSE,,,,FALSE,,
65,25-1012,Feta,,Cheese Family,Domestic Medium Hair,,Calico,,,female,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,11/5/2025,,,,,FALSE,FALSE,,,,adopted,----,11/2/2025,TRUE,,,,,FALSE,FALSE,,,,FALSE,,
66,24-0422,Figi,2/26/2024,,Domestic Shorthair,,Tuxedo,"1 Years, 9 Months, 21 Days",,female,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,FALSE,FALSE,,,,adopted,----,,TRUE,,,,,FALSE,FALSE,,,,FALSE,,
67,,Flare,6/1/2023,,Domestic Shorthair,,Showshoe mix,"2 Years, 6 Months, 16 Days",,female,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,3/13/2025,TRUE,FALSE,,,,adopted,----,10/11/2025,TRUE,Andrew Lin,,,,FALSE,FALSE,,,,FALSE,,
68,,Freya,,,,,,,,,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,3/13/2025,3/13/2025,TRUE,FALSE,,,,available,,,FALSE,,,,,FALSE,FALSE,,,,FALSE,,
69,,Friday,6/24/2025,Days of the Week Family,Domestic Medium Hair,,Brown Tabby,"5 Months, 23 Days",,unknown,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,9/9/2025,10/22/2025,,10/22/2025,,FALSE,FALSE,,,,adopted,----,9/13/2025,TRUE,Cathy Kathol,,,,FALSE,FALSE,,,,FALSE,,
70,,Frodo,8/18/2025,Lord of the Rings,Domestic Shorthair,,"Black, white on face. Tuxedo","3 Months, 29 Days",,male,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,FALSE,FALSE,,,,adopted,----,10/11/2025,TRUE,Ysabelle Evangelista,,,,FALSE,FALSE,,,,FALSE,,
71,,Gala,10/4/2024,Apple Family,Domestic Longhair,,Tabby,"1 Years, 2 Months, 13 Days",,male,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,FALSE,FALSE,,,,adopted,----,3/29/2025,TRUE,Angela Chen,,,,FALSE,FALSE,,,,FALSE,,
72,,Gato Momo,4/5/2024,,,,Tabby,"1 Years, 8 Months, 12 Days",,unknown,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,FALSE,FALSE,,,,adopted,----,4/6/2025,TRUE,James Rincon,,,,FALSE,FALSE,,,,FALSE,,
73,,Geri,12/1/2024,,Domestic Shorthair,,Marmalaid,"1 Years, 0 Months, 16 Days",,female,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,5/13/2025,,FALSE,FALSE,,,,adopted,----,11/2/2025,TRUE,,,,,FALSE,FALSE,,,,FALSE,,
74,,Gidget (Guess),6/30/2025,,Domestic Shorthair,,Dilute Tabby. Grey & White,"5 Months, 17 Days",,female,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,8/25/2025,9/23/2025,10/14/2025,,,FALSE,FALSE,,,,adopted,----,11/2/2025,TRUE,,,,,FALSE,FALSE,,,,FALSE,,
75,,Gigi,3/14/2025,,Domestic Shorthair,,Tuxedo,"9 Months, 3 Days",,female,,TRUE,985 113 010 334 410,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,7/11/2025,,,7/11/2025,9/25/2025,TRUE,FALSE,,,,adopted,----,,TRUE,,,,,FALSE,FALSE,,,,FALSE,,
76,24-0513,Gizmo,2/7/2024,,Domestic Shorthair,,Tuxedo,"1 Years, 10 Months, 10 Days",,male,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,FALSE,FALSE,,,,adopted,----,2/8/2025,TRUE,Lynn Harris,,,,FALSE,FALSE,,,,FALSE,,
